"sub_interest" "Freq"
"1" "abcn" 34
"2" "https" 32
"3" "trump" 26
"4" "donald" 19
"5" "pres" 15
"6" "says" 15
"7" "north" 14
"8" "president" 13
"9" "meeting" 11
"10" "will" 10
"11" "house" 9
"12" "year" 9
"13" "korean" 8
"14" "news" 8
"15" "state" 7
"16" "white" 7
"17" "home" 6
"18" "jong" 6
"19" "korea" 6
"20" "letter" 6
"21" "police" 6
"22" "summit" 6
"23" "week" 6
"24" "found" 5
"25" "just" 5
"26" "past" 5
"27" "three" 5
"28" "according" 4
"29" "earlier" 4
"30" "former" 4
"31" "investigation" 4
"32" "made" 4
"33" "media" 4
"34" "mike" 4
"35" "minister" 4
"36" "official" 4
"37" "pompeo" 4
"38" "rescue" 4
"39" "saying" 4
"40" "school" 4
"41" "secretary" 4
"42" "team" 4
"43" "want" 4
"44" "west" 4
"45" "woman" 4
"46" "ahead" 3
"47" "bill" 3
"48" "called" 3
"49" "campaign" 3
"50" "canadian" 3
"51" "climate" 3
"52" "company" 3
"53" "country" 3
"54" "course" 3
"55" "days" 3
"56" "delegation" 3
"57" "friday" 3
"58" "friends" 3
"59" "inches" 3
"60" "karthik" 3
"61" "killed" 3
"62" "know" 3
"63" "machine" 3
"64" "macron" 3
"65" "martha" 3
"66" "million" 3
"67" "national" 3
"68" "nearly" 3
"69" "people" 3
"70" "political" 3
"71" "potential" 3
"72" "presidential" 3
"73" "prime" 3
"74" "recent" 3
"75" "russia" 3
"76" "said" 3
"77" "seen" 3
"78" "show" 3
"79" "shows" 3
"80" "since" 3
"81" "special" 3
"82" "statement" 3
"83" "surprise" 3
"84" "taken" 3
"85" "tells" 3
"86" "time" 3
"87" "today" 3
"88" "trumps" 3
"89" "washington" 3
"90" "world" 3
"91" "wsjfb" 3
"92" "accused" 2
"93" "action" 2
"94" "administration" 2
"95" "allegedly" 2
"96" "allies" 2
"97" "along" 2
"98" "already" 2
"99" "also" 2
"100" "american" 2
"101" "among" 2
"102" "announces" 2
"103" "army" 2
"104" "attorney" 2
"105" "australia" 2
"106" "authorities" 2
"107" "baby" 2
"108" "balance" 2
"109" "barr" 2
"110" "bear" 2
"111" "beat" 2
"112" "bodies" 2
"113" "border" 2
"114" "call" 2
"115" "canceled" 2
"116" "change" 2
"117" "chief" 2
"118" "chol" 2
"119" "chris" 2
"120" "claims" 2
"121" "close" 2
"122" "come" 2
"123" "community" 2
"124" "confidant" 2
"125" "county" 2
"126" "couple" 2
"127" "denuclearization" 2
"128" "despite" 2
"129" "didn" 2
"130" "dinesh" 2
"131" "doesnt" 2
"132" "donovan" 2
"133" "donut" 2
"134" "emmanuel" 2
"135" "environmental" 2
"136" "even" 2
"137" "ever" 2
"138" "family" 2
"139" "find" 2
"140" "first" 2
"141" "five" 2
"142" "following" 2
"143" "footage" 2
"144" "foster" 2
"145" "french" 2
"146" "front" 2
"147" "frozen" 2
"148" "girl" 2
"149" "governor" 2
"150" "group" 2
"151" "happen" 2
"152" "hasn" 2
"153" "help" 2
"154" "historic" 2
"155" "horse" 2
"156" "hour" 2
"157" "http" 2
"158" "human" 2
"159" "including" 2
"160" "inside" 2
"161" "intends" 2
"162" "jobs" 2
"163" "june" 2
"164" "justin" 2
"165" "kidnapping" 2
"166" "last" 2
"167" "later" 2
"168" "leader" 2
"169" "life" 2
"170" "line" 2
"171" "little" 2
"172" "longtime" 2
"173" "make" 2
"174" "making" 2
"175" "mall" 2
"176" "massachusetts" 2
"177" "mexico" 2
"178" "midwest" 2
"179" "moment" 2
"180" "months" 2
"181" "move" 2
"182" "moving" 2
"183" "much" 2
"184" "nafta" 2
"185" "never" 2
"186" "nofx" 2
"187" "office" 2
"188" "opened" 2
"189" "outside" 2
"190" "pardon" 2
"191" "park" 2
"192" "part" 2
"193" "percent" 2
"194" "positive" 2
"195" "press" 2
"196" "prize" 2
"197" "proposals" 2
"198" "publicly" 2
"199" "raddatz" 2
"200" "rain" 2
"201" "rapper" 2
"202" "released" 2
"203" "relief" 2
"204" "report" 2
"205" "respond" 2
"206" "robert" 2
"207" "roseanne" 2
"208" "russian" 2
"209" "safe" 2
"210" "schools" 2
"211" "scott" 2
"212" "season" 2
"213" "security" 2
"214" "seeking" 2
"215" "service" 2
"216" "several" 2
"217" "shot" 2
"218" "social" 2
"219" "spelling" 2
"220" "statements" 2
"221" "stone" 2
"222" "stores" 2
"223" "storms" 2
"224" "summer" 2
"225" "tennessee" 2
"226" "think" 2
"227" "throughout" 2
"228" "ties" 2
"229" "times" 2
"230" "told" 2
"231" "trudeau" 2
"232" "truth" 2
"233" "visit" 2
"234" "wasn" 2
"235" "weather" 2
"236" "wedding" 2
"237" "whether" 2
"238" "women" 2
"239" "worked" 2
"240" "yong" 2
"241" "york" 2
"242" "abcjvms" 1
"243" "accident" 1
"244" "active" 1
"245" "activity" 1
"246" "actually" 1
"247" "added" 1
"248" "adding" 1
"249" "additional" 1
"250" "address" 1
"251" "adds" 1
"252" "adorable" 1
"253" "adviser" 1
